,Iteration,Number of Processors,Grid Size,Maximum Refinement Level,Bubble Size,Bubble Density,"log(Cost, Node-Hours)",Pred. Mean,Pred. Sigma,Max Sigma,Cost Pred. Error,Memory Pred. Error,Hyperparameter-0,Hyperparameter-1,Hyperparameter-2,LML Max,Pred. Sigma Avg.,Cumulative Cost,Cumulative Regret,MaxRSS,rep,Candidate Selection,mem_limit_rel,n_init_rel
0,1.0,4.0,8.0,3.0,0.2,0.2,-2.62220621056,-2.86499240926,0.19376647816,0.252050735191,0.248794332629,3219896.47949,6.22171219549,4.22954988236,-3.50382309494,2.22253432834,0.185342104163,103.425958789,0.0,6.39123441997,0,MinPred,0.95,0.25
1,2.0,4.0,8.0,3.0,0.2,0.025,-2.65912643027,-2.7169429499,0.19167261464,0.248950651748,0.249236536403,3210385.68436,6.23066431329,4.2388656264,-3.51140349203,1.99334039029,0.184487812331,103.428150955,0.0,6.39051119835,0,MinPred,0.95,0.25
2,3.0,8.0,8.0,3.0,0.3,0.1,-2.34400407216,-2.50566217629,0.182303889882,0.247442796043,0.250637397177,3188744.6435,6.21089473479,4.23038426445,-3.5145435717,3.30248546249,0.184185019404,103.432679889,0.0,6.65846473521,0,MinPred,0.95,0.25
3,4.0,8.0,8.0,3.0,0.4,0.025,-2.32602733193,-2.42153558689,0.182450889713,0.247363568716,0.251224118911,3182582.07574,6.19261678691,4.21271751403,-3.52712342252,3.0317320533,0.183120050561,103.437400222,0.0,6.38760620771,0,MinPred,0.95,0.25
4,5.0,16.0,8.0,3.0,0.3,0.2,-2.02595319531,-2.16375222336,0.184125970819,0.247131795248,0.251948035127,3146186.55208,5.99538784043,4.09592614396,-3.5545515236,4.47321047988,0.181232836973,103.446820133,0.0,6.43972922102,0,MinPred,0.95,0.25
5,6.0,4.0,8.0,4.0,0.4,0.2,-2.30953417,-2.15746539368,0.177707505921,0.249128078532,0.250003047379,3143600.0219,5.91527640106,4.03737783746,-3.57211244339,4.00668611004,0.180036492243,103.451723178,0.0,6.41238930721,0,MinPred,0.95,0.25
6,7.0,4.0,8.0,4.0,0.2,0.05,-2.31667573451,-2.16320626604,0.175936195385,0.250735299003,0.251060987882,3142875.7328,5.88731375412,4.00392402802,-3.58581576433,5.36920351172,0.179071932627,103.456546255,0.0,6.42057092089,0,MinPred,0.95,0.25
7,8.0,4.0,16.0,3.0,0.5,0.4,-1.97103764275,-2.12825166316,0.183958429414,0.251720107253,0.252259134381,3130186.34448,6.02469711536,4.09314076137,-3.5688999632,4.88101412695,0.179881911235,103.467235878,0.0,6.49602138312,0,MinPred,0.95,0.25
8,9.0,4.0,8.0,4.0,0.3,0.025,-2.30661996094,-2.12639152682,0.174460573358,0.248214185885,0.252620811228,3129788.8244,5.96905345033,4.05521813383,-3.57697838854,6.0976490863,0.17939347729,103.472171933,0.0,6.41853992195,0,MinPred,0.95,0.25
9,10.0,16.0,8.0,3.0,0.2,0.05,-1.97004835796,-2.09489118044,0.178989316795,0.249517848535,0.253581080989,3196807.51542,5.85671458152,3.97569876672,-3.60241150489,5.75983838971,0.177645245606,103.482885933,0.0,5.29360118534,0,MinPred,0.95,0.25
