,Iteration,Number of Processors,Grid Size,Maximum Refinement Level,Bubble Size,Bubble Density,"log(Cost, Node-Hours)",Pred. Mean,Pred. Sigma,Max Sigma,Cost Pred. Error,Memory Pred. Error,Hyperparameter-0,Hyperparameter-1,Hyperparameter-2,LML Max,Pred. Sigma Avg.,Cumulative Cost,Cumulative Regret,MaxRSS,rep,Candidate Selection,mem_limit_rel,n_init_rel
0,1.0,16.0,8.0,3.0,0.3,0.4,-2.03061722535,-2.28659216067,0.164301280617,0.191070971245,0.230682084187,2599774.05307,6.38828464587,4.51250618209,-3.75164718739,17.0965703804,0.162619281834,74.8660835111,0.0,6.42259246596,0,RandGoodness,0.95,0.25
1,2.0,8.0,8.0,5.0,0.4,0.1,-1.66405514237,-1.42157474378,0.159058750503,0.193706352928,0.228450450752,2600188.53839,6.19234274382,4.42444958686,-3.74428393879,15.9536909167,0.163419000846,74.8877578,0.0,6.42527330461,0,RandGoodness,0.95,0.25
2,3.0,8.0,8.0,3.0,0.4,0.2,-2.3358596641,-2.46614063275,0.169196988522,0.196887365154,0.233282753502,2590123.98758,6.32336045694,4.50036707191,-3.73879304393,17.4499199387,0.163385615478,74.8923724667,0.0,6.3503472743,0,RandGoodness,0.95,0.25
3,4.0,16.0,8.0,3.0,0.4,0.2,-2.02628527019,-2.13713749516,0.163059448823,0.194615716901,0.231019070036,2586648.41462,6.24033947273,4.45505463076,-3.75012244517,17.201000496,0.162577583607,74.9017851778,0.0,6.37951581405,0,RandGoodness,0.95,0.25
4,5.0,4.0,8.0,4.0,0.3,0.2,-2.31659770245,-2.1179415152,0.167633289316,0.194953996805,0.223923971425,2586796.93781,6.08319742426,4.35256415618,-3.76361116976,18.3230533883,0.161763391209,74.9066091222,0.0,6.41718062669,0,RandGoodness,0.95,0.25
5,6.0,8.0,8.0,4.0,0.5,0.2,-1.86936751106,-1.94920798105,0.159725086218,0.197858124666,0.22445198414,2577024.34009,6.15143606192,4.38420471993,-3.76856462766,18.1979840518,0.161200061128,74.9201184111,0.0,6.88536122003,0,RandGoodness,0.95,0.25
6,7.0,16.0,8.0,5.0,0.2,0.05,-1.39933294756,-1.23810770635,0.160070944858,0.196293182843,0.224455879995,2573275.25083,6.19962120027,4.40279498638,-3.7676503279,19.5235865606,0.161170134904,74.9599903222,0.0,6.4410198445,0,RandGoodness,0.95,0.25
7,8.0,4.0,16.0,3.0,0.3,0.025,-1.98274400267,-1.88717754289,0.164517362585,0.195770941379,0.223783333723,2570044.79726,6.1569344017,4.37333967828,-3.77983768016,19.3273026456,0.160218178767,74.9703956556,0.0,6.48041630979,0,RandGoodness,0.95,0.25
8,9.0,24.0,16.0,4.0,0.3,0.4,-0.83113535798,-0.912705708159,0.163275381406,0.195905501275,0.223028365187,2578493.08393,6.14244956623,4.36996741079,-3.78703652546,21.0161493824,0.159520518009,75.1179203222,0.0,6.94378724449,0,RandGoodness,0.95,0.25
9,10.0,8.0,8.0,6.0,0.2,0.2,-1.20607464657,-1.05928465958,0.159268268674,0.192954973103,0.222203310428,2584748.80773,6.1081686961,4.34429718293,-3.79361506856,20.5940839728,0.159056969703,75.1801396556,0.0,6.91012045907,0,RandGoodness,0.95,0.25
10,11.0,4.0,8.0,4.0,0.3,0.025,-2.30661996094,-2.09694314165,0.16175168445,0.193241800646,0.217905325013,2585792.06235,5.95190130394,4.2623957501,-3.79811271504,21.594046282,0.158898988229,75.1850757111,0.0,6.41853992195,0,RandGoodness,0.95,0.25
