,Iteration,Number of Processors,Grid Size,Maximum Refinement Level,Bubble Size,Bubble Density,"log(Cost, Node-Hours)",Pred. Mean,Pred. Sigma,Max Sigma,Cost Pred. Error,Memory Pred. Error,Hyperparameter-0,Hyperparameter-1,Hyperparameter-2,LML Max,Pred. Sigma Avg.,Cumulative Cost,Cumulative Regret,MaxRSS,rep,Candidate Selection,mem_limit_rel,n_init_rel
0,1.0,24.0,16.0,6.0,0.2,0.025,0.186713424077,-0.0684693862513,0.166034931133,0.201408926175,0.226742431739,2714659.37498,6.90775527898,4.54736302569,-3.7454975365,14.8863908495,0.164278339593,72.4845502445,0.0,7.04660940036,0,RandUniform,0.95,0.25
1,2.0,16.0,32.0,4.0,0.3,0.1,-0.28744008429,-0.32062225651,0.163415720958,0.200557944755,0.228391485448,2701585.52916,6.90775527898,4.54593270225,-3.75650194523,14.841908465,0.163231680414,73.0004435778,0.0,6.76799958173,0,RandUniform,0.95,0.25
2,3.0,16.0,16.0,5.0,0.3,0.1,-0.657385219262,-0.52872087918,0.156672262457,0.199622351269,0.227360092874,2765757.42383,6.90775527898,4.54156031587,-3.76107525605,16.3588954296,0.16285846517,73.2205409111,0.0,4.81647993062,0,RandUniform,0.95,0.25
3,4.0,16.0,8.0,3.0,0.2,0.1,-2.01667647659,-2.20945953033,0.172499826123,0.199444116735,0.233695211652,2770634.55476,6.69925908067,4.42712757256,-3.77498412589,15.7060235357,0.161931024899,73.2301642,0.0,6.4410198445,0,RandUniform,0.95,0.25
4,5.0,8.0,32.0,5.0,0.3,0.025,,-0.031615100399,0.155928803584,0.200644118214,0.233695197732,2772068.76887,6.6992602228,4.42712804687,-3.77498408941,15.7060235359,0.161931288259,74.5335130889,1.30334888889,7.15660227452,0,RandUniform,0.95,0.25
5,6.0,16.0,8.0,5.0,0.4,0.1,-1.41047137582,-1.2254324852,0.160750710248,0.200644404577,0.233885706238,2774984.04912,6.65673771072,4.41641903794,-3.77022909559,16.8724992386,0.162237557686,74.5723754,1.30334888889,6.44358964183,0,RandUniform,0.95,0.25
6,7.0,8.0,8.0,5.0,0.4,0.1,-1.66405514237,-1.4553713584,0.156669992935,0.201185987897,0.235701603574,2779629.30984,6.55071666676,4.37108763349,-3.76589362186,16.0086377806,0.162702897715,74.5940496889,1.30334888889,6.42527330461,0,RandUniform,0.95,0.25
7,8.0,16.0,32.0,5.0,0.3,0.4,0.0532270262049,0.0347881922044,0.160680232694,0.202738238181,0.236882141489,2778719.30288,6.5403002801,4.36719151778,-3.77646940804,17.8329026484,0.161772175659,75.7244363556,1.30334888889,7.06137526432,0,RandUniform,0.95,0.25
8,9.0,4.0,8.0,6.0,0.3,0.05,-1.21702998191,-1.11972041534,0.161073150386,0.201673140551,0.23749953808,2792739.86887,6.52263287558,4.35687185831,-3.7847689799,17.6402077555,0.161102951639,75.7851058,1.30334888889,6.51327301571,0,RandUniform,0.95,0.25
9,10.0,32.0,16.0,4.0,0.4,0.025,-0.795602640022,-0.620757793119,0.201261195849,0.201261195849,0.238343082494,2794760.54498,6.69320330078,4.45984295369,-3.77161626885,18.9183289601,0.161372764244,75.9452080222,1.30334888889,6.43972922102,0,RandUniform,0.95,0.25
10,11.0,32.0,32.0,4.0,0.2,0.1,0.028148138164,-0.131412390729,0.1732469443,0.189048005082,0.234482034604,2799762.60536,6.57431048673,4.41066205535,-3.77662907072,18.4167838367,0.160934490486,77.0121680222,1.30334888889,7.02364286099,0,RandUniform,0.95,0.25
11,12.0,8.0,32.0,3.0,0.3,0.05,-0.901159454004,-1.13759502532,0.167299428146,0.189386870703,0.228816403898,2802442.88693,6.60259462474,4.45802460788,-3.75411266641,19.2371746906,0.162230874421,77.1377249111,1.30334888889,6.87099723069,0,RandUniform,0.95,0.25
12,13.0,4.0,32.0,5.0,0.4,0.4,-0.268030912512,-0.330395253556,0.161245966917,0.18980851929,0.228613105934,2802988.48845,6.59115747114,4.45656335535,-3.76179205314,19.1509568253,0.161562301914,77.6771971334,1.30334888889,7.12902750707,0,RandUniform,0.95,0.25
13,14.0,16.0,16.0,5.0,0.4,0.05,-0.585395773563,-0.472155711452,0.156593707911,0.189022686636,0.227719519118,2808073.82532,6.52380805782,4.4349583558,-3.7661684381,20.74532412,0.161211176071,77.9369762445,1.30334888889,6.47568280809,0,RandUniform,0.95,0.25
14,15.0,8.0,8.0,5.0,0.3,0.2,-1.69757863278,-1.55144809541,0.156532269165,0.188831595074,0.229329033018,2811936.11971,6.50262391524,4.41487552863,-3.77184072612,20.329542387,0.160825922238,77.9570404222,1.30334888889,6.42860124796,0,RandUniform,0.95,0.25
15,16.0,8.0,32.0,5.0,0.4,0.02,0.112101309232,0.0167356630591,0.155796183342,0.188887369439,0.233024556696,2812042.77477,6.52050458619,4.41273009486,-3.78066366154,22.0039613301,0.160131638995,79.2515382,1.30334888889,7.10928959604,0,RandUniform,0.95,0.25
16,17.0,4.0,8.0,6.0,0.2,0.025,-0.807116743403,-1.16300567241,0.160357063202,0.188303515443,0.230713641474,2780239.34951,6.56921028306,4.45468365188,-3.73576518572,19.5900814084,0.163467735775,79.4074515334,1.30334888889,7.06353210548,0,RandUniform,0.95,0.25
17,18.0,16.0,16.0,3.0,0.2,0.025,-1.37111086921,-1.4427080187,0.164603584875,0.191065588775,0.232790918057,2783811.25877,6.57001662984,4.44846466131,-3.74557822815,21.302435679,0.162611806271,79.4500005111,1.30334888889,6.54584723582,0,RandUniform,0.95,0.25
18,19.0,16.0,8.0,4.0,0.4,0.1,-1.71536777019,-1.68944693151,0.161549909169,0.190103758821,0.232589664855,2782261.2164,6.5782048533,4.4528068564,-3.75425356161,21.2767421215,0.161831210413,79.4692594445,1.30334888889,6.43778606574,0,RandUniform,0.95,0.25
19,20.0,24.0,32.0,4.0,0.4,0.25,-0.100128450004,-0.133443018107,0.164201482916,0.189160418329,0.234034659973,2789507.79138,6.57267781025,4.44846763693,-3.76400958048,23.0652406189,0.160943056428,80.2633527778,1.30334888889,7.04259630138,0,RandUniform,0.95,0.25
