,Iteration,Number of Processors,Grid Size,Maximum Refinement Level,Bubble Size,Bubble Density,"log(Cost, Node-Hours)",Pred. Mean,Pred. Sigma,Max Sigma,Cost Pred. Error,Memory Pred. Error,Hyperparameter-0,Hyperparameter-1,Hyperparameter-2,LML Max,Pred. Sigma Avg.,Cumulative Cost,Cumulative Regret,MaxRSS,rep,Candidate Selection,mem_limit_rel,n_init_rel
0,1.0,24.0,8.0,6.0,0.2,0.025,-0.630139984005,-0.741441094665,0.194641258294,0.194641258294,0.210983211345,2603570.29986,6.28321144894,4.3170082803,-3.74793119039,13.9121454973,0.163545967137,57.0299791111,0.0,6.9585172502,0,MaxSigma,0.95,0.25
1,2.0,32.0,32.0,6.0,0.4,0.025,,0.769012827041,0.187924812918,0.187924812918,0.210983211345,2596502.64598,6.28321144894,4.3170082803,-3.74793119039,13.9121454973,0.163545967137,67.5089124445,10.4789333334,7.15660227452,0,MaxSigma,0.95,0.25
2,3.0,32.0,32.0,4.0,0.3,0.025,-0.0186909095499,0.0844760372461,0.187009467848,0.187009467848,0.211706006514,2572339.84044,6.31214067195,4.34012469732,-3.75018652583,13.603038271,0.162860989655,68.4667880001,10.4789333334,7.02883402707,0,MaxSigma,0.95,0.25
3,4.0,32.0,16.0,6.0,0.2,0.4,-0.132380113502,-0.177666068667,0.18520134681,0.18520134681,0.211360507809,2601564.79369,6.32334841914,4.35010693251,-3.75803790801,15.2619955916,0.161984911755,69.2040466667,10.4789333334,5.92622716834,0,MaxSigma,0.95,0.25
4,5.0,32.0,32.0,6.0,0.2,0.025,,0.669197163211,0.181363690518,0.181363690518,0.211360507809,2596327.53242,6.32334841914,4.35010693251,-3.75803790801,15.2619955916,0.161984911755,79.5777355557,20.8526222224,7.15660227452,0,MaxSigma,0.95,0.25
5,6.0,32.0,32.0,6.0,0.3,0.025,,0.711087296339,0.1812682824,0.1812682824,0.211360135678,2592988.50585,6.32333319004,4.35009953353,-3.75803743525,15.2619955916,0.161984750884,90.1412022223,31.416088889,7.15660227452,0,MaxSigma,0.95,0.25
6,7.0,32.0,32.0,6.0,0.4,0.1,,0.732246313953,0.180497976858,0.180497976858,0.211360135678,2590954.13551,6.32333319004,4.35009953353,-3.75803743525,15.2619955916,0.161984750884,100.147335556,41.4222222223,7.15660227452,0,MaxSigma,0.95,0.25
7,8.0,32.0,16.0,4.0,0.3,0.025,-0.755935197844,-0.660595334306,0.180472375599,0.180472375599,0.21687538621,2575784.31964,6.33612788876,4.36317091474,-3.7624040601,14.999031009,0.161456158543,100.322749778,41.4222222223,6.54736309942,0,MaxSigma,0.95,0.25
8,9.0,32.0,32.0,6.0,0.2,0.1,0.660478423158,0.650361166024,0.178880263715,0.178880263715,0.217986725995,2576263.76291,6.35124084765,4.36952224913,-3.7726254318,16.7210683639,0.160333356282,104.898669778,41.4222222223,7.07039314046,0,MaxSigma,0.95,0.25
9,10.0,24.0,32.0,3.0,0.3,0.5,-0.4244896341,-0.611155416942,0.172984621005,0.172984621005,0.221089207224,2576027.69133,6.23140497297,4.32174894432,-3.77446805716,16.0625432053,0.160125791322,105.274949111,41.4222222223,6.68863620337,0,MaxSigma,0.95,0.25
