ADAPT_COMM,ADVANCE$,ADVANCE_STEPS_COUNTER$,CFL_COMM,COMM,GHOSTFILL$,GHOSTFILL_AVERAGE,GHOSTFILL_COPY,GHOSTFILL_INTERP,GHOSTFILL_STEP1,GHOSTFILL_STEP2,GHOSTFILL_STEP3,GHOSTPATCH_BUILD,GHOSTPATCH_COMM,GRIDS_PER_PROC$,INIT,INTERIOR,LOCAL,LOCAL_BOUNDARY,LOCAL_BOUNDARY_RATIO,PARTITION,PARTITION_COMM,REGRID$,REMOTE_BOUNDARY,REMOTE_BOUNDARY_RATIO,WALLTIME,jobid,max,mi,min,mj,mx,nout,p,r0,rhoin,tfinal,MaxRSS,AveRSS
0.244017,5.40029,7211,10.5974,3.88477,1.31345,0.0712632,0.794637,0.0343324,0.396182,0.00799872,0.518072,0.139465,3.88477,1,0.000404119,0,1.19271,1,0.0208333,0.383884,0.383884,0.0191964,5,0.00668403,21.859,4263911,4,4,0,1,16,300,4,0.2,0.025,0.75,401408.0,2048.0
0.79482,8.91296,11912,27.5614,6.96262,2.13957,0.104231,1.2933,0.0515725,0.644021,0.0133444,0.826401,0.226298,6.96262,1,0.000310364,0,1.0,1,0.00130208,1.14766,1.14766,0.0323805,4,0.000325521,47.5733,4263912,5,4,0,1,16,300,16,0.4,0.2,0.75,3571712.0,241664.0
0.273122,0.275583,1039,3.15638,0.16358,0.11726,0.0065674,0.0678542,0.00412527,0.0342779,0.00278206,0.0466606,0.012117,0.16358,0,9.357e-05,0,0.0117188,0,0.00260417,0.355317,0.355317,0.00272762,1,0.00260417,4.34726,4263913,4,4,0,1,8,150,16,0.3,0.05,0.75,2781184.0,5120.0
0.270677,2.05792,2811,15.125,1.56974,0.517949,0.0290466,0.302317,0.0146867,0.152078,0.00606672,0.200231,0.0544514,1.56974,0,0.000223087,0,0.0729167,0,0.00130208,0.425717,0.425717,0.00680178,2,0.000651042,19.9807,4263916,4,4,0,1,16,300,8,0.2,0.4,0.75,3452928.0,421888.0
0.920287,81.8835,108109,4.38741,82.9808,18.0045,1.13067,11.7848,0.538125,6.03368,0.0915278,7.54425,1.85195,82.9808,6,0.00132302,0,6.0,6,0.0138889,1.34909,1.34909,0.187885,16,0.00578962,189.8,4263213,6,4,0,1,16,300,8,0.5,0.4,0.75,9883648.0,243712.0
0.303083,17.1573,65517,0.409932,14.865,6.27612,0.424789,4.20705,0.24476,2.12336,0.0521325,2.81997,0.558516,14.865,8,0.000864898,0,7.93229,8,0.0114583,0.408029,0.408029,0.0292771,18,0.00641758,39.468,4263214,6,4,0,1,8,150,4,0.2,0.2,0.75,811008.0,4096.0
1.09957,88.6754,117425,4.55503,87.4295,19.033,1.07363,12.7029,0.507977,6.46497,0.100675,7.94218,1.96113,87.4295,7,0.00133514,0,6.95052,7,0.00863715,1.59524,1.59524,0.223461,16,0.00397455,202.702,4263919,6,4,0,1,16,300,8,0.4,0.2,0.75,9904128.0,241664.0
0.762913,10.2048,13505,25.6553,6.88594,2.39421,0.104769,1.47053,0.0518705,0.729265,0.0136744,0.921295,0.25304,6.88594,1,0.000314102,0,1.0,1,0.00390625,1.12166,1.12166,0.0364353,4,0.00130208,47.0853,4263921,5,4,0,1,16,300,16,0.4,0.1,0.75,2940928.0,3072.0
1.47925,2.01328,2687,16.8794,1.06422,0.464077,0.0206863,0.282068,0.0107915,0.140932,0.00578428,0.17825,0.0493803,1.06422,0,0.000160389,0,0.00911458,0,0.00260417,1.17558,1.17558,0.00874806,1,0.00173611,23.0954,4263217,4,4,0,1,16,300,16,0.5,0.1,0.75,8687616.0,181248.0
0.304672,2.76788,3752,14.5102,1.51469,0.645837,0.0301735,0.39359,0.0152463,0.196361,0.00620353,0.24995,0.0673433,1.51469,0,0.000240648,0,0.296875,0,0.0078125,0.451185,0.451185,0.00863023,2,0.00303819,20.2153,4263218,4,4,0,1,16,300,8,0.3,0.1,0.75,65536.0,0.0
