,ADAPT_COMM,ADVANCE$,ADVANCE_STEPS_COUNTER$,CFL_COMM,COMM,GHOSTFILL$,GHOSTFILL_AVERAGE,GHOSTFILL_COPY,GHOSTFILL_INTERP,GHOSTFILL_STEP1,GHOSTFILL_STEP2,GHOSTFILL_STEP3,GHOSTPATCH_BUILD,GHOSTPATCH_COMM,GRIDS_PER_PROC$,INIT,INTERIOR,LOCAL,LOCAL_BOUNDARY,LOCAL_BOUNDARY_RATIO,PARTITION,PARTITION_COMM,REGRID$,REMOTE_BOUNDARY,REMOTE_BOUNDARY_RATIO,WALLTIME,jobid,max,mi,min,mj,mx,nout,p,r0,rhoin,tfinal,MaxRSS,AveRSS
1026,0.280926,6.49888,8585,9.68926,4.04326,1.51085,0.0735174,0.933861,0.0354171,0.463435,0.00844418,0.59476,0.160185,4.04326,2,0.000442948,0,1.57292,2,0.0260417,0.443805,0.443805,0.0257129,5,0.00668403,22.5078,4253757,4,4,0,1,16,300,4,0.3,0.05,0.75,0.0,0.0
1027,0.169988,6.69141,2728,46.1406,2.54973,0.746098,0.03203,0.479677,0.0132722,0.239177,0.00674732,0.29134,0.0695287,2.54973,0,0.000472327,0,0.1875,0,0.00520833,0.137254,0.137254,0.00727931,1,0.00173611,56.4555,4253758,3,4,0,1,32,600,4,0.3,0.1,0.75,0.0,0.0
1028,0.497565,36.3744,47648,2.50577,36.6376,7.95889,0.420975,5.2255,0.200144,2.63231,0.0434212,3.27036,0.838657,36.6376,5,0.00117899,0,4.99479,5,0.0133681,0.866611,0.866611,0.142127,14,0.00567148,85.0507,4253759,5,4,0,1,16,300,4,0.4,0.2,0.75,0.0,0.0
1029,0.44547,22.4186,30099,5.2819,28.1312,5.42678,0.293824,3.34444,0.141023,1.67443,0.0225894,2.1534,0.580851,28.1312,3,0.000971949,0,3.02083,3,0.00694444,0.769559,0.769559,0.0935909,10,0.00364583,62.6141,4253760,5,4,0,1,16,300,4,0.2,0.1,0.75,0.0,0.0
1030,0.0713223,0.221472,848,1.40767,0.0943862,0.0808265,0.00342691,0.050566,0.00214792,0.0250467,0.00154143,0.0326845,0.00805353,0.0943862,0,0.000119744,0,0.255208,0,0.0182292,0.0743845,0.0743845,0.00120575,1,0.0134549,1.95352,4253761,3,4,0,1,8,150,4,0.5,0.4,0.75,0.0,0.0
1031,0.596909,554.373,234871,10.5737,143.577,65.4458,0.438812,51.217,0.1791,25.5171,1.19118,25.5556,7.95562,143.577,12,0.00300208,1,11.0156,11,0.0829383,0.353341,0.353341,0.159185,20,0.0511489,775.172,4253762,5,4,0,1,32,600,4,0.2,0.025,0.75,16625664.0,457728.0
1032,1.56343,178.549,69987,21.3872,175.211,25.2588,1.23539,15.6857,0.47657,8.1924,0.0760499,9.31964,3.97006,175.211,4,0.00303435,0,3.98958,4,0.00347222,2.46133,2.46133,0.648138,11,0.00190972,405.53,4253763,5,4,0,1,32,600,4,0.2,0.05,0.75,12476416.0,301056.0
1033,0.216922,12.8703,53075,0.57071,7.57864,3.84161,0.0663661,3.01435,0.0405651,1.3872,0.171676,1.63726,0.315581,7.57864,11,0.000504758,2,9.67708,10,0.183781,0.2641,0.2641,0.0178406,18,0.0982613,25.3714,4253764,5,4,0,1,8,150,4,0.3,0.025,0.75,0.0,0.0
1034,0.285287,3.50982,13422,1.12955,3.07955,1.48712,0.089787,0.902451,0.0527147,0.451138,0.00952662,0.616099,0.150298,3.07955,3,0.0004491,0,2.97396,3,0.0130208,0.318014,0.318014,0.0109031,10,0.00607639,9.83047,4253765,5,4,0,1,8,150,4,0.2,0.4,0.75,0.0,0.0
1035,0.494213,82.0445,118649,3.58087,26.2464,14.2766,0.141078,11.3892,0.072996,5.28311,0.676226,5.83638,1.41124,26.2464,12,0.000965265,2,10.5052,11,0.194852,0.47587,0.47587,0.0751497,18,0.116301,127.229,4253766,5,4,0,1,16,300,4,0.2,0.025,0.75,10805248.0,251904.0
