p,mx,max,r0,rhoin,Cost,MaxRSS,WALLTIME,hash
8,16,5,0.2,0.025,-0.762707662433,6.98820638428,77.715,5baeec64f3b4
16,16,5,0.2,0.05,-0.674249966614,6.56321140686,47.6357,a7541239f5b7
8,16,6,0.3,0.1,-0.404976787135,6.98176136166,177.107,2c6a0c67e401
16,16,6,0.5,0.05,0.158021893144,7.0568731543,323.746,cb400ef28a59
4,16,5,0.4,0.025,-0.71865851679,7.03165466972,172.022,5b14095785c4
4,16,4,0.3,0.1,-1.63584105754,6.51923348269,20.8162,76e59c017d9e
4,8,6,0.4,0.05,-1.11950716754,6.50110090865,68.3495,8b42311be035
16,8,6,0.5,0.2,-0.953385190296,6.44868406367,25.0494,374cddd81a05
16,8,4,0.2,0.2,-1.70981792677,6.43778606574,4.38899,a33054a43f2c
8,8,5,0.3,0.4,-1.70132931222,6.42793769629,8.95124,d484baceae27
8,16,4,0.4,0.1,-1.29469518865,6.53818752259,22.8306,9b981809f370
8,8,4,0.5,0.2,-1.86936751106,6.88536122003,6.07918,3083d9089e33
16,16,4,0.3,0.2,-1.01097360826,6.91663499844,21.9386,4bf4dda65635
16,8,5,0.4,0.1,-1.41047137582,6.44358964183,8.74402,50cf9f3ddf70
8,16,6,0.4,0.1,-0.308397941792,6.99275210802,221.215,38db69ee2710
8,16,6,0.4,0.4,-0.372101844442,6.99491726988,191.034,5ae5525736c0
8,16,6,0.3,0.2,-0.411252853159,6.98324296475,174.566,e5e67527f4b7
4,16,6,0.4,0.4,-0.475040187596,7.04676915556,301.441,4f896c053bcd
16,16,4,0.5,0.025,-1.10777426265,6.03396387484,17.5553,0722c63456c3
16,16,6,0.5,0.025,0.176878066559,7.05718514748,338.112,d03a5a1b13ea
16,8,5,0.2,0.1,-1.33961944925,6.89019828097,10.2935,c5d2f125961d
4,16,6,0.5,0.4,-0.468778045568,7.01237958303,305.819,01db68c0121f
16,8,6,0.4,0.05,-0.912824556974,6.44868406367,27.5016,f7598146530b
16,16,6,0.4,0.05,0.179650077148,7.05562293543,340.277,409eedc0ba0a
16,16,6,0.2,0.025,0.102114938393,7.05671707362,284.641,88c20b3902a4
16,16,6,0.3,0.05,0.0804533117423,7.05671707362,270.792,b74cc46d6700
4,16,6,0.4,0.05,0.0774567337502,7.28455019916,1075.72,ad972fda39db
4,16,4,0.4,0.05,-1.601126779,6.53300494937,22.5484,eba1a9a06c7c
16,16,6,0.4,0.025,0.189265668935,7.05405508361,347.895,83c4138a4c2c
4,16,6,0.5,0.05,0.0685939809767,7.30317600595,1053.99,fc5d298d16b3
16,8,5,0.3,0.4,-1.40020908282,6.45120903871,8.9531,428e8ce426ca
8,16,5,0.4,0.1,-0.88419059779,4.9345792427,58.7519,292a5c887866
8,16,6,0.2,0.05,-0.124245705487,7.16866244874,338.039,843eec0b0a07
8,16,6,0.4,0.025,0.115663755243,7.17118847278,587.322,3b70f530dcd4
16,8,4,0.2,0.05,-1.70139044895,6.42393495384,4.47499,c4702a5ee818
16,16,5,0.3,0.05,-0.668811231623,6.54987783999,48.236,9b93b4766f14
16,8,4,0.4,0.2,-1.71409379543,6.43843475067,4.34599,19526f28faf6
8,16,4,0.3,0.025,-1.37064930764,6.53143804034,19.1674,5aee2e163ed5
16,16,4,0.2,0.1,-1.04049009818,4.2144199393,20.4971,c94a1be4ddb9
16,8,5,0.2,0.05,-1.40337309728,6.44037501219,8.88811,98c4d8e04c15
4,16,6,0.4,0.2,-0.445440852414,7.04852259501,322.702,fe79c198cae7
4,16,6,0.2,0.1,-0.593111766546,7.02043023385,229.684,9fb1e9bdb171
8,16,5,0.3,0.1,-0.941136358423,6.53715594377,51.5319,d17f847dfca5
16,16,4,0.5,0.2,-1.02725013678,6.56804769828,21.1316,dbbc21403e4e
16,8,5,0.4,0.025,-1.39722015929,6.44486886067,9.01493,ba068b473390
4,8,6,0.3,0.025,-0.754311895107,7.06674741511,158.464,e451eac68d52
4,8,6,0.2,0.4,-1.37218142033,6.50222166923,38.1998,0e84eaef29ca
16,8,5,0.4,0.05,-1.33163893635,6.88928108003,10.4844,01605c014f4e
8,16,5,0.5,0.2,-0.867871999523,6.54126763821,61.0015,92701fcfee57
4,16,6,0.2,0.025,0.0360936809568,7.28510414627,977.994,1a04ced08c72
8,16,4,0.3,0.4,-1.31237790782,6.89498206085,21.9197,c5f3adf01c62
8,8,4,0.4,0.4,-1.87128273851,6.88163933774,6.05243,565f2b64e38d
4,16,6,0.3,0.4,-0.553071240142,7.03198530886,251.867,88d49a5901ec
16,8,4,0.2,0.4,-1.71590429718,6.38394742885,4.32791,250ace0e2b0f
4,16,5,0.3,0.4,-1.10029680817,6.5361219088,71.4407,daa67498b799
8,8,6,0.3,0.1,-1.13346325121,6.89746697753,33.094,a102be379c0e
4,16,5,0.2,0.1,-1.14467471498,6.93499265966,64.5012,fefae755359a
16,16,6,0.3,0.025,0.187236111445,7.05546640471,346.273,3b61faa02620
8,16,6,0.5,0.025,0.114842931452,7.18581177,586.213,ee4ef52a7277
8,8,4,0.2,0.1,-2.02758114844,6.4219196626,4.2231,9d3391ec0317
8,16,6,0.4,0.05,0.0971554647807,7.16878306934,562.818,6487adc3fa8a
4,8,6,0.2,0.025,-0.807116743403,7.06353210548,140.322,356775785dc8
8,16,6,0.2,0.025,0.0443419920494,7.18290288785,498.373,dd1cbc2cc5ed
16,8,6,0.3,0.025,-0.648515487279,6.54987783999,50.5437,2b68548c06c9
8,16,6,0.2,0.1,-0.463893481187,6.97143617403,154.639,d32127487445
4,16,5,0.2,0.05,-1.11045491174,6.95792970402,69.7891,cbf67cd08662
4,16,5,0.5,0.2,-0.996672093487,6.50333954496,90.6923,f894a0d93cd6
8,16,5,0.5,0.1,-0.839153464086,6.96338280055,65.1717,9ec0ff3c69e7
16,16,4,0.4,0.4,-1.03470002267,6.55684262012,20.7722,f7c91d211895
16,16,4,0.2,0.025,-1.03914039726,6.54786721379,20.5609,cc03504ff520
8,8,6,0.4,0.025,-0.665513186536,7.00117136144,97.2074,ffc88e8590fa
8,8,5,0.3,0.2,-1.69757863278,6.42860124796,9.02888,d18ccaf097de
16,8,4,0.5,0.4,-1.70624667017,6.44422972225,4.42523,375fcb08992a
16,16,6,0.2,0.05,-0.0217362753605,7.05889711504,214.016,4531e900fce0
4,16,6,0.3,0.2,-0.513753763427,7.02414795251,275.733,3f35986f974a
16,16,6,0.5,0.1,0.13453975393,7.05436910711,306.706,f0d3c7878611
8,16,6,0.5,0.05,0.0888547877778,7.16672794896,552.163,9a33188c0487
16,16,5,0.4,0.4,-0.671481770685,6.54228950805,47.9403,7a4805148e15
4,16,6,0.2,0.05,-0.166127897946,7.31830914288,613.924,f814411f65fe
16,16,4,0.5,0.05,-1.02003907463,6.56804769828,21.4854,634a1705b785
4,8,6,0.2,0.1,-1.343400364,6.02565971205,40.8171,65589be9427d
8,8,6,0.5,0.1,-1.03738025287,5.98893690502,41.2888,b1be8da41077
16,16,6,0.5,0.2,-0.19848043259,6.96589150705,142.463,e5af84f91694
4,16,4,0.2,0.05,-1.61915788123,6.52617380035,21.6314,86ac16f0930e
16,16,6,0.5,0.4,-0.255432354887,6.98342781024,124.954,616dd8d8735d
4,16,6,0.2,0.4,-0.634364363448,7.00152603233,208.871,16dd20cefc4f
4,16,5,0.5,0.025,-0.711283881863,7.03066123929,174.968,6427ff72b80c
4,16,6,0.3,0.05,-0.0255993641176,7.28482726104,848.483,f31df75dd90b
4,16,5,0.5,0.05,-0.849284484987,7.04404529265,127.338,32426f504a8b
8,16,6,0.5,0.4,-0.377176020855,7.00716172513,188.815,58cb1f8cfa47
16,16,6,0.2,0.025,0.105046690081,7.05609218937,286.569,cd0f974646ab
8,16,6,0.5,0.1,0.0644762924401,7.16441948216,522.022,ecdfa5901026
8,8,6,0.5,0.025,-0.633029461041,6.59553502001,104.757,4bab38c27745
4,16,6,0.5,0.1,0.0372095178584,7.30740360679,980.51,da0e442a44ca
4,16,6,0.5,0.4,-0.465794738571,7.03935890672,307.927,c8391bfe91cc
8,16,6,0.5,0.025,0.114419701328,7.16551449614,585.642,7a9d65425224
4,16,6,0.2,0.4,-0.636803921939,7.00134873309,207.701,47f8a3327fa6
4,16,6,0.5,0.025,0.0973730135657,7.30976367117,1126.2,d9143b5b3c98
16,16,6,0.5,0.1,0.119915410258,7.05374083288,296.55,07bef32c3ce3
8,16,6,0.2,0.1,-0.462793965393,6.98046079968,155.031,e4bdadaf43d4
4,8,6,0.5,0.025,-0.6649657904,7.06659484372,194.66,fb05ac03a33c
4,8,6,0.2,0.025,-0.801367346615,7.06720480798,142.192,a0253d3cc117
4,16,6,0.2,0.025,0.0238681311559,7.28510414627,950.847,2dbb599bac60
4,16,6,0.2,0.1,-0.592875476498,7.01289793736,229.809,854a15b9b61f
16,16,6,0.5,0.025,0.168447719809,7.05499647375,331.612,ccbacfd50bd8
4,8,6,0.5,0.4,-1.19814142242,6.54584723582,57.0297,fdaaa8343c53
8,16,6,0.2,0.025,0.0445223394862,7.1673334063,498.58,da5fa8bb87aa
24,16,6,0.3,0.025,0.190070108749,7.04660940036,232.36,7ccabd731507
